sample_id,siteID,fishID,tissueID,tissue,d13C,total_c_mg,d15N,total_n_mg
FRLF-09-M,FRLF,09,M,muscle tissue,-19.5789403259946,515.622836002608,11.1997872671458,146.313563812317
BSMR-10-M,BSMR,10,M,muscle tissue,-25.0912033779706,877.231582895776,9.46882923785697,256.896832976501
SBWS-10-M,SBWS,10,M,muscle tissue,-25.7282879220411,450.652595179556,9.6538133096153,105.289115699774
BSMR-09-M,BSMR,09,M,muscle tissue,-22.577623970458,686.320147528355,9.83629943464498,191.404935680966
BSMR-08-M,BSMR,08,M,muscle tissue,-22.5092880518509,657.162429335507,10.1727286844799,194.617937258396
FRLF-08-M,FRLF,08,M,muscle tissue,-19.4120115324115,511.409988390412,11.4524475062545,155.300612649107
FRLF-07-M,FRLF,07,M,muscle tissue,-19.8545396180037,502.011621377465,11.7717078466514,140.493696945042
SBWS-08-M,SBWS,08,M,muscle tissue,-23.3375307400931,750.073230771248,10.0756179754477,224.932693467906
SBWS-07-M,SBWS,07,M,muscle tissue,-23.0795039478967,807.123690632376,10.2429157850159,243.081132444351
SACTIS-09-M,SACTIS,09,M,muscle tissue,-20.107489722208,636.802862291795,11.6349927316031,180.760731177284
SACTIS-08-M,SACTIS,08,M,muscle tissue,-20.2869175213913,489.32427134564,11.6055769407513,141.271403705636
SACTIS-07-M,SACTIS,07,M,muscle tissue,-19.8732590808236,638.123295758402,11.4574986840636,186.069553666574
SACTIS-06-M,SACTIS,06,M,muscle tissue,-20.0868729585849,870.897128068708,11.1846008948952,255.777161212714
SACTIS-05-M,SACTIS,05,M,muscle tissue,-19.8482982532073,943.405043345671,11.3902965750592,269.934947156646
SACTIS-04-M,SACTIS,04,M,muscle tissue,-20.4022857067441,752.048789536045,11.2577879417608,219.080420011404
SBSNWR-06-M,SBSNWR,06,M,muscle tissue,-22.5251162404365,805.761774717199,10.8961952322773,214.91699271397
SBSNWR-05-M,SBSNWR,05,M,muscle tissue,-22.6940840909101,999.259124706133,11.0388003794522,242.285401628069
SBSNWR-04-M,SBSNWR,04,M,muscle tissue,-22.1723375559875,557.638899059416,11.1126503086861,154.466530104529
SBWS-06-M,SBWS,06,M,muscle tissue,-21.7456098876651,851.054597549305,10.7013328716993,225.484661097391
SBWS-05-M,SBWS,05,M,muscle tissue,-22.3520250754155,920.733326592457,10.440190237031,266.481590643709
SBWS-04-M,SBWS,04,M,muscle tissue,-21.7781165004326,905.881598347081,10.7721844314672,244.443686929849
SBWS-03-M,SBWS,03,M,muscle tissue,-20.1464626495168,575.190785089118,11.4671563183907,156.906434635058
SBWS-02-M,SBWS,02,M,muscle tissue,-20.3630213579664,705.422481643042,11.0394637905704,180.655974097563
SBWS-01-M,SBWS,01,M,muscle tissue,-19.6554762013574,537.189862472833,11.891919140824,149.007612437695
SACTIS-03-M,SACTIS,03,M,muscle tissue,-19.7113733975007,684.049212883442,11.5563081241387,183.340091082877
SACTIS-02-M,SACTIS,02,M,muscle tissue,-19.9088979598748,783.515307238055,11.7619579578232,191.547606756274
SACTIS-01-M,SACTIS,01,M,muscle tissue,-19.5457411692071,817.729057177236,11.7934346561323,231.009948818212
BSMR-01-M,BSMR,01,M,muscle tissue,-19.6638101438457,755.248012687274,11.2746384560387,218.096103725462
SBSNWR-03-M,SBSNWR,03,M,muscle tissue,-19.7046416761531,624.52779712326,11.7404435656738,168.395833138407
SBSNWR-02-M,SBSNWR,02,M,muscle tissue,-20.1264967179578,883.23994952913,11.7737602975209,239.447913358294
BSMR-03-M,BSMR,03,M,muscle tissue,-20.0705808920726,761.651972353939,11.1800451055924,204.136923697288
BSMR-02-M,BSMR,02,M,muscle tissue,-20.1781370328176,910.864716233538,11.3065085768754,238.996199070475
BSMR-11-M,BSMR,11,M,muscle tissue,-25.7080838878183,783.766725139279,9.24638810529043,225.90318051058
BSMR-12-M,BSMR,12,M,muscle tissue,-25.4141583460884,940.392725083621,9.17132344077277,272.246092011786
SACTIS-10-M,SACTIS,10,M,muscle tissue,-21.7973243859812,531.337078685372,11.085683073334,146.45093782142
SACTIS-11-M,SACTIS,11,M,muscle tissue,-22.6991996374432,780.426784824842,10.1914380907901,232.245595829451
SACTIS-12-M,SACTIS,12,M,muscle tissue,-22.7941404686613,1034.70560096362,10.5863891162214,298.609542860558
SBSNWR-10-M,SBSNWR,10,M,muscle tissue,-24.6339557992586,755.024385230024,10.4396589379437,224.257886682432
SBSNWR-11-M,SBSNWR,11,M,muscle tissue,-25.3736342420077,646.798560108956,10.3501469775553,190.788711745471
SBSNWR-12-M,SBSNWR,12,M,muscle tissue,-25.8835829968675,790.808945942754,9.72451806460154,236.300956764208
BSMR-13-M,BSMR,13,M,muscle tissue,-26.18454240337,649.314255356388,9.17497792462748,188.782118438024
BSMR-14-M,BSMR,14,M,muscle tissue,-25.9711054531043,511.840972583822,9.2965941358661,155.587751482949
SACTIS-13-M,SACTIS,13,M,muscle tissue,-22.9602767925493,726.707701178583,9.92308969114199,226.160961849461
SACTIS-14-M,SACTIS,14,M,muscle tissue,-23.4831985512075,548.618517274701,10.2623220804226,150.112132585877
SACTIS-15-M,SACTIS,15,M,muscle tissue,-22.7125674829411,695.86612790965,10.276806354209,214.357283149931
SBSNWR-13-M,SBSNWR,13,M,muscle tissue,-26.1455341231436,507.808921095053,9.93541625999191,158.917791962904
SBSNWR-14-M,SBSNWR,14,M,muscle tissue,-26.6317975166513,898.439910149292,9.91253897554221,265.98476538775
SBSNWR-15-M,SBSNWR,15,M,muscle tissue,-26.1794759252289,475.067389238789,9.51959561206952,148.840313288865
SBSNWR-16-M,SBSNWR,16,M,muscle tissue,-26.4925421127708,536.746638616133,9.67006665681646,161.314871517372
SBWS-13-M,SBWS,13,M,muscle tissue,-24.6442396165162,681.63193905349,9.43608585502989,210.803157355895
SBSW-08-S,SBSW,08,S,stomach contents,-29.16689543631,806.90963375336,6.29156589097412,153.252595059266
FRLF-08-S,FRLF,08,S,stomach contents,-27.3366963600074,815.930140645659,6.88687244344545,163.360925276135
SBWS-07-S,SBWS,07,S,stomach contents,-27.5088003625605,744.987933531878,6.75527092941761,132.154933916711
SACTIS-07-S,SACTIS,07,S,stomach contents,-25.0046832475843,814.416512377893,7.19375183405834,158.004795086306
SBWS-06-S,SBWS,06,S,stomach contents,-29.0472198613415,450.058394703389,6.76884883090105,81.1115367635746
SBWS-05-S,SBWS,05,S,stomach contents,-28.857835520032,729.088320769899,7.28055891140358,138.566610168159
SBSNWR-03-S,SBSNWR,03,S,stomach contents,-28.1138708954876,843.526089672596,9.87168366469792,166.471561408388
BSMR-11-S,BSMR,11,S,stomach contents,-30.6088273223068,654.376346966997,7.73035883538009,129.182203940878
BSMR-12-S,BSMR,12,S,stomach contents,-31.1802131358906,795.05111424871,7.21890086161428,154.764310359301
SACTIS-11-S,SACTIS,11,S,stomach contents,-26.5133192178218,755.139305037475,7.47914428172759,158.683848148378
SBSNWR-11-S,SBSNWR,11,S,stomach contents,-28.1650390003189,550.347227653343,7.98811266852239,129.522907826797
SBSNWR-12-S,SBSNWR,12,S,stomach contents,-29.2082088953068,571.360967278716,10.1224827288331,115.795740789183
BSMR-13-S,BSMR,13,S,stomach contents,-29.856078169631,721.877694003386,7.06589509804747,170.405049002219
BSMR-14-S,BSMR,14,S,stomach contents,-30.851384032677,918.217646089271,7.6343852666583,187.385635356348
SACTIS-14-S,SACTIS,14,S,stomach contents,-32.3240813822268,927.31116182109,6.70183135053937,159.756331699338
SBSNWR-13-S,SBSNWR,13,S,stomach contents,-28.7699562667991,704.952953227141,9.86191968598311,159.636324456969
SBSNWR-14-S,SBSNWR,14,S,stomach contents,-28.88232234654,633.545209334248,7.94579864006057,146.882051848441
SBSNWR-16-S,SBSNWR,16,S,stomach contents,-29.4280620386091,653.644776684557,7.41997973791289,142.973273865794
SBWS-13-S,SBWS,13,S,stomach contents,-27.2942007388019,582.440959926031,9.60074987596367,124.013034254953
BSMR-07-S,BSMR,07,S,stomach contents,-28.2007370799009,867.461580731596,5.99666069440442,170.768002315495
